match_id,series_id,match_details,result,scores,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs,D/L_method,target
304770,124121,"South Group:Sussex v Essex at Hove- Jun 21, 2003",Sussex won by 7 runs,Sussex 180/6 (20/20 ov); Essex 173/4 (20/20 ov),21/06/2003,Hove,South Group,Sussex,Essex,Sussex,7,,,Sussex,180,6,20,20,Essex,173,4,20,20,,
304771,124121,"North Group:Derbyshire v Durham at Derby- Jun 23, 2003",Derbyshire won by 6 runs,Derbyshire 157 (19.5/20 ov); Durham 151/5 (20/20 ov),23/06/2003,Derby,North Group,Derbyshire,Durham,Derbyshire,6,,,Derbyshire,157,10,19.5,20,Durham,151,5,20,20,,
304772,124121,"Midlands/Wales/West Group:Glamorgan v Worcestershire at Cardiff- Jun 23, 2003",Glamorgan won by 56 runs,Glamorgan 170/4 (20/20 ov); Worcestershire 114 (19/20 ov),23/06/2003,Cardiff,Midlands/Wales/West Group,Glamorgan,Worcestershire,Glamorgan,56,,,Glamorgan,170,4,20,20,Worcestershire,114,10,19,20,,
304773,124121,"South Group:Kent v Surrey at Canterbury- Jun 23, 2003",Surrey won by 18 runs,Surrey 186/8 (20/20 ov); Kent 168/9 (20/20 ov),23/06/2003,Canterbury,South Group,Kent,Surrey,Surrey,18,,,Surrey,186,8,20,20,Kent,168,9,20,20,,
129883,124121,"South Group:Middlesex v Hampshire at Uxbridge- Jun 23, 2003",Middlesex won by 8 wickets (with 31 balls remaining),Hampshire 134/7 (20/20 ov); Middlesex 136/2 (14.5/20 ov),23/06/2003,Uxbridge,South Group,Middlesex,Hampshire,Middlesex,,8,31,Hampshire,134,7,20,20,Middlesex,136,2,14.5,20,,
304774,124121,"Midlands/Wales/West Group:Warwickshire v Gloucestershire at Birmingham- Jun 23, 2003",Gloucestershire won by 8 wickets (with 41 balls remaining),Warwickshire 134/7 (20/20 ov); Gloucestershire 135/2 (13.1/20 ov),23/06/2003,Birmingham,Midlands/Wales/West Group,Warwickshire,Gloucestershire,Gloucestershire,,8,41,Warwickshire,134,7,20,20,Gloucestershire,135,2,13.1,20,,
304776,124121,"Midlands/Wales/West Group:Gloucestershire v Glamorgan at Bristol- Jun 24, 2003",Gloucestershire won by 53 runs,Gloucestershire 221/7 (20/20 ov); Glamorgan 168/7 (20/20 ov),24/06/2003,Bristol,Midlands/Wales/West Group,Gloucestershire,Glamorgan,Gloucestershire,53,,,Gloucestershire,221,7,20,20,Glamorgan,168,7,20,20,,
129926,124121,"South Group:Hampshire v Surrey at Southampton- Jun 24, 2003",Surrey won by 19 runs,Surrey 140/9 (20/20 ov); Hampshire 121 (20/20 ov),24/06/2003,Southampton,South Group,Hampshire,Surrey,Surrey,19,,,Surrey,140,9,20,20,Hampshire,121,10,20,20,,
304777,124121,"North Group:Lancashire v Durham at Manchester- Jun 24, 2003",Lancashire won by 4 runs,Lancashire 144/8 (20/20 ov); Durham 140/9 (20/20 ov),24/06/2003,Manchester,North Group,Lancashire,Durham,Lancashire,4,,,Lancashire,144,8,20,20,Durham,140,9,20,20,,
304778,124121,"North Group:Leicestershire v Derbyshire at Leicester- Jun 24, 2003",Leicestershire won by 1 run,Leicestershire 171/8 (20/20 ov); Derbyshire 170/9 (20/20 ov),24/06/2003,Leicester,North Group,Leicestershire,Derbyshire,Leicestershire,1,,,Leicestershire,171,8,20,20,Derbyshire,170,9,20,20,,
304779,124121,"Midlands/Wales/West Group:Northamptonshire v Warwickshire at Northampton- Jun 24, 2003",Warwickshire won by 54 runs,Warwickshire 202/5 (20/20 ov); Northamptonshire 148/7 (20/20 ov),24/06/2003,Northampton,Midlands/Wales/West Group,Northamptonshire,Warwickshire,Warwickshire,54,,,Warwickshire,202,5,20,20,Northamptonshire,148,7,20,20,,
304781,124121,"Midlands/Wales/West Group:Worcestershire v Somerset at Worcester- Jun 24, 2003",Worcestershire won by 37 runs,Worcestershire 161/5 (20/20 ov); Somerset 124 (18.2/20 ov),24/06/2003,Worcester,Midlands/Wales/West Group,Worcestershire,Somerset,Worcestershire,37,,,Worcestershire,161,5,20,20,Somerset,124,10,18.2,20,,
304782,124121,"North Group:Yorkshire v Nottinghamshire at Leeds- Jun 24, 2003",Yorkshire won by 18 runs,Yorkshire 196/5 (20/20 ov); Nottinghamshire 178 (18.1/20 ov),24/06/2003,Leeds,North Group,Yorkshire,Nottinghamshire,Yorkshire,18,,,Yorkshire,196,5,20,20,Nottinghamshire,178,10,18.1,20,,
304775,124121,"South Group:Essex v Middlesex at Chelmsford- Jun 24, 2003",Essex won by 2 runs,Essex 175/5 (20/20 ov); Middlesex 173/7 (20/20 ov),24/06/2003,Chelmsford,South Group,Essex,Middlesex,Essex,2,,,Essex,175,5,20,20,Middlesex,173,7,20,20,,
304780,124121,"South Group:Sussex v Kent at Hove- Jun 24, 2003",Sussex won by 5 wickets (with 25 balls remaining),Kent 114 (18.5/20 ov); Sussex 115/5 (15.5/20 ov),24/06/2003,Hove,South Group,Sussex,Kent,Sussex,,5,25,Kent,114,10,18.5,20,Sussex,115,5,15.5,20,,
304783,124121,"1st Semi-Final:Leicestershire v Warwickshire at Nottingham- Jul 19, 2003",Warwickshire won by 7 wickets (with 4 balls remaining),Leicestershire 162/7 (20/20 ov); Warwickshire 166/3 (19.2/20 ov),19/07/2003,Nottingham,1st Semi-Final,Leicestershire,Warwickshire,Warwickshire,,7,4,Leicestershire,162,7,20,20,Warwickshire,166,3,19.2,20,,
304784,124121,"2nd Semi-Final:Gloucestershire v Surrey at Nottingham- Jul 19, 2003",Surrey won by 5 runs,Surrey 147/9 (20/20 ov); Gloucestershire 142/6 (20/20 ov),19/07/2003,Nottingham,2nd Semi-Final,Gloucestershire,Surrey,Surrey,5,,,Surrey,147,9,20,20,Gloucestershire,142,6,20,20,,
304785,124121,"Final:Surrey v Warwickshire at Nottingham- Jul 19, 2003",Surrey won by 9 wickets (with 55 balls remaining),Warwickshire 115 (18.1/20 ov); Surrey 119/1 (10.5/20 ov),19/07/2003,Nottingham,Final,Surrey,Warwickshire,Surrey,,9,55,Warwickshire,115,10,18.1,20,Surrey,119,1,10.5,20,,
304943,134226,"Western Province Boland v Dolphins at Cape Town- Apr 7, 2004",Western Province Boland won by 6 wickets (with 15 balls remaining),Dolphins 121/6 (20/20 ov); Western Province Boland 122/4 (17.3/20 ov),07/04/2004,Cape Town,,Western Province Boland,Dolphins,Western Province,,6,15,Dolphins,121,6,20,20,Western Province Boland,122,4,17.3,20,,
304944,134226,"Titans v Lions at Centurion- Apr 8, 2004",Lions won by 10 runs,Lions 145/6 (20/20 ov); Titans 135/8 (20/20 ov),08/04/2004,Centurion,,Titans,Lions,Lions,10,,,Lions,145,6,20,20,Titans,135,8,20,20,,
304945,134226,"Dolphins v Eagles at Durban- Apr 11, 2004",Eagles won by 4 runs,Eagles 185/5 (20/20 ov); Dolphins 181/5 (20/20 ov),11/04/2004,Durban,,Dolphins,Eagles,Eagles,4,,,Eagles,185,5,20,20,Dolphins,181,5,20,20,,
304946,134226,"Eagles v Titans at Bloemfontein- Apr 13, 2004",Titans won by 90 runs,Titans 184/5 (20/20 ov); Eagles 94 (16.5/20 ov),13/04/2004,Bloemfontein,,Eagles,Titans,Titans,90,,,Titans,184,5,20,20,Eagles,94,10,16.5,20,,
304947,134226,"Eastern Cape v Western Province Boland at Port Elizabeth- Apr 13, 2004",Western Province Boland won by 3 wickets (with 0 balls remaining),Eastern Cape 121/9 (20/20 ov); Western Province Boland 122/7 (20/20 ov),13/04/2004,Port Elizabeth,,Eastern Cape,Western Province Boland,Western Province,,3,0,Eastern Cape,121,9,20,20,Western Province Boland,122,7,20,20,,
304948,134226,"Lions v Dolphins at Johannesburg- Apr 16, 2004",Dolphins won by 6 wickets (with 1 ball remaining),Lions 162/6 (20/20 ov); Dolphins 163/4 (19.5/20 ov),16/04/2004,Johannesburg,,Lions,Dolphins,Dolphins,,6,1,Lions,162,6,20,20,Dolphins,163,4,19.5,20,,
304949,134226,"Western Province Boland v Eagles at Paarl- Apr 16, 2004",Match abandoned without a ball bowled,,16/04/2004,Paarl,,Western Province Boland,Eagles,Match abandoned without a ball bowled,,,,,,,,,,,,,,,
304950,134226,"Eastern Cape v Eagles at East London- Apr 18, 2004",Eastern Cape won by 5 wickets (with 3 balls remaining),Eagles 114/7 (20/20 ov); Eastern Cape 116/5 (19.3/20 ov),18/04/2004,East London,,Eastern Cape,Eagles,Eastern Cape,,5,3,Eagles,114,7,20,20,Eastern Cape,116,5,19.3,20,,
304951,134226,"Titans v Western Province Boland at Centurion- Apr 18, 2004",Titans won by 14 runs,Titans 176/2 (20/20 ov); Western Province Boland 162/4 (20/20 ov),18/04/2004,Centurion,,Titans,Western Province Boland,Titans,14,,,Titans,176,2,20,20,Western Province Boland,162,4,20,20,,
304952,134226,"Dolphins v Eastern Cape at Durban- Apr 21, 2004",Dolphins won by 7 wickets (with 4 balls remaining),Eastern Cape 152/7 (20/20 ov); Dolphins 153/3 (19.2/20 ov),21/04/2004,Durban,,Dolphins,Eastern Cape,Dolphins,,7,4,Eastern Cape,152,7,20,20,Dolphins,153,3,19.2,20,,
304953,134226,"Western Province Boland v Lions at Cape Town- Apr 21, 2004",Western Province Boland won by 55 runs,Western Province Boland 147/3 (20/20 ov); Lions 92 (19/20 ov),21/04/2004,Cape Town,,Western Province Boland,Lions,Western Province,55,,,Western Province Boland,147,3,20,20,Lions,92,10,19,20,,
304954,134226,"Dolphins v Titans at Durban- Apr 23, 2004",Titans won by 31 runs,Titans 161/7 (20/20 ov); Dolphins 130/7 (20/20 ov),23/04/2004,Durban,,Dolphins,Titans,Titans,31,,,Titans,161,7,20,20,Dolphins,130,7,20,20,,
304955,134226,"Lions v Eastern Cape at Potchefstroom- Apr 23, 2004",Eastern Cape won by 7 wickets (with 3 balls remaining),Lions 151/5 (20/20 ov); Eastern Cape 155/3 (19.3/20 ov),23/04/2004,Potchefstroom,,Lions,Eastern Cape,Eastern Cape,,7,3,Lions,151,5,20,20,Eastern Cape,155,3,19.3,20,,
304956,134226,"Eagles v Lions at Bloemfontein- Apr 25, 2004",Eagles won by 3 runs,Eagles 161/6 (20/20 ov); Lions 158 (19/20 ov),25/04/2004,Bloemfontein,,Eagles,Lions,Eagles,3,,,Eagles,161,6,20,20,Lions,158,10,19,20,,
304957,134226,"Titans v Eastern Cape at Centurion- Apr 25, 2004",Titans won by 8 wickets (with 17 balls remaining),Eastern Cape 146/6 (20/20 ov); Titans 147/2 (17.1/20 ov),25/04/2004,Centurion,,Titans,Eastern Cape,Titans,,8,17,Eastern Cape,146,6,20,20,Titans,147,2,17.1,20,,
304958,134226,"Semi-Final:Western Province Boland v Eastern Cape at Cape Town- Apr 27, 2004",Eastern Cape won by 7 wickets (with 7 balls remaining),Western Province Boland 128/7 (20/20 ov); Eastern Cape 129/3 (18.5/20 ov),27/04/2004,Cape Town,Semi-Final,Western Province Boland,Eastern Cape,Eastern Cape,,7,7,Western Province Boland,128,7,20,20,Eastern Cape,129,3,18.5,20,,
304959,134226,"Semi-Final:Titans v Eagles at Centurion- Apr 28, 2004",Eagles won by 7 wickets (with 29 balls remaining) (D/L method),Titans 47 (14.3/16 ov); Eagles 48/3 (11.1/16 ov),28/04/2004,Centurion,Semi-Final,Titans,Eagles,Eagles,,7,29,Titans,47,10,14.3,16,Eagles,48,3,11.1,16,1,
304960,134226,"Final:Eastern Cape v Eagles at East London- May 1, 2004",Eagles won by 7 runs (D/L method),"Eagles 131/6 (20/20 ov); Eastern Cape 108/9 (17/17 ov, target: 116)",01/05/2004,East London,Final,Eastern Cape,Eagles,Eagles,7,,,Eagles,131,6,20,20,Eastern Cape,108,9,17,17,1,116
304788,134471,"North Group:Derbyshire v Yorkshire at Derby- Jul 2, 2004",Yorkshire won by 1 wicket (with 0 balls remaining) (D/L method),"Derbyshire 133/8 (20/20 ov); Yorkshire 108/9 (15/15 ov, target: 108)",02/07/2004,Derby,North Group,Derbyshire,Yorkshire,Yorkshire,,1,0,Derbyshire,133,8,20,20,Yorkshire,108,9,15,15,1,108
304790,134471,"South Group:Kent v Middlesex at Maidstone- Jul 2, 2004",Kent won by 7 wickets (with 29 balls remaining) (D/L method),"Middlesex 155/7 (18/18 ov); Kent 157/3 (13.1/18 ov, target: 157)",02/07/2004,Maidstone,South Group,Kent,Middlesex,Kent,,7,29,Middlesex,155,7,18,18,Kent,157,3,13.1,18,1,157
304791,134471,"North Group:Lancashire v Leicestershire at Manchester- Jul 2, 2004",Leicestershire won by 8 runs,Leicestershire 139/9 (19/19 ov); Lancashire 131/6 (19/19 ov),02/07/2004,Manchester,North Group,Lancashire,Leicestershire,Leicestershire,8,,,Leicestershire,139,9,19,19,Lancashire,131,6,19,19,,
304792,134471,"Midland/Wales/West Group:Northamptonshire v Glamorgan at Northampton- Jul 2, 2004",Glamorgan won by 5 wickets (with 5 balls remaining),Northamptonshire 162/5 (20/20 ov); Glamorgan 166/5 (19.1/20 ov),02/07/2004,Northampton,Midland/Wales/West Group,Northamptonshire,Glamorgan,Glamorgan,,5,5,Northamptonshire,162,5,20,20,Glamorgan,166,5,19.1,20,,
304793,134471,"North Group:Nottinghamshire v Durham at Nottingham- Jul 2, 2004",Nottinghamshire won by 3 wickets (with 5 balls remaining),Durham 120 (19.4/20 ov); Nottinghamshire 122/7 (19.1/20 ov),02/07/2004,Nottingham,North Group,Nottinghamshire,Durham,Nottinghamshire,,3,5,Durham,120,10,19.4,20,Nottinghamshire,122,7,19.1,20,,
304795,134471,"Midland/Wales/West Group:Warwickshire v Somerset at Birmingham- Jul 2, 2004",Warwickshire won by 7 wickets (with 39 balls remaining) (D/L method),"Somerset 120 (19.5/20 ov); Warwickshire 101/3 (9.3/16 ov, target: 101)",02/07/2004,Birmingham,Midland/Wales/West Group,Warwickshire,Somerset,Warwickshire,,7,39,Somerset,120,10,19.5,20,Warwickshire,101,3,9.3,16,1,101
304796,134471,"Midland/Wales/West Group:Worcestershire v Gloucestershire at Worcester- Jul 2, 2004",Worcestershire won by 1 run,Worcestershire 184/9 (20/20 ov); Gloucestershire 183/5 (20/20 ov),02/07/2004,Worcester,Midland/Wales/West Group,Worcestershire,Gloucestershire,Worcestershire,1,,,Worcestershire,184,9,20,20,Gloucestershire,183,5,20,20,,
304789,134471,"South Group:Essex v Hampshire at Chelmsford- Jul 2, 2004",Essex won by 40 runs,Essex 135/9 (18/18 ov); Hampshire 95 (15/18 ov),02/07/2004,Chelmsford,South Group,Essex,Hampshire,Essex,40,,,Essex,135,9,18,18,Hampshire,95,10,15,18,,
304794,134471,"South Group:Sussex v Surrey at Hove- Jul 2, 2004",Surrey won by 100 runs,Surrey 221/8 (20/20 ov); Sussex 121 (17.2/20 ov),02/07/2004,Hove,South Group,Sussex,Surrey,Surrey,100,,,Surrey,221,8,20,20,Sussex,121,10,17.2,20,,
304797,134471,"South Group:Surrey v Hampshire at The Oval- Jul 3, 2004",Surrey won by 31 runs,Surrey 198/5 (20/20 ov); Hampshire 167/9 (20/20 ov),03/07/2004,The Oval,South Group,Surrey,Hampshire,Surrey,31,,,Surrey,198,5,20,20,Hampshire,167,9,20,20,,
304798,134471,"South Group:Kent v Essex at Maidstone- Jul 5, 2004",Essex won by 8 wickets (with 27 balls remaining),Kent 125 (19.2/20 ov); Essex 128/2 (15.3/20 ov),05/07/2004,Maidstone,South Group,Kent,Essex,Essex,,8,27,Kent,125,10,19.2,20,Essex,128,2,15.3,20,,
304799,134471,"Midland/Wales/West Group:Northamptonshire v Worcestershire at Luton- Jul 5, 2004",Worcestershire won by 21 runs (D/L method),"Worcestershire 173/5 (20/20 ov); Northamptonshire 80/8 (11/11 ov, target: 102)",05/07/2004,Luton,Midland/Wales/West Group,Northamptonshire,Worcestershire,Worcestershire,21,,,Worcestershire,173,5,20,20,Northamptonshire,80,8,11,11,1,102
304800,134471,"Midland/Wales/West Group:Somerset v Glamorgan at Taunton- Jul 5, 2004",Glamorgan won by 8 wickets (with 3 balls remaining),Somerset 193/8 (20/20 ov); Glamorgan 194/2 (19.3/20 ov),05/07/2004,Taunton,Midland/Wales/West Group,Somerset,Glamorgan,Glamorgan,,8,3,Somerset,193,8,20,20,Glamorgan,194,2,19.3,20,,
304802,134471,"North Group:Leicestershire v Durham at Leicester- Jul 7, 2004",Durham won by 41 runs,Durham 138/4 (20/20 ov); Leicestershire 97/9 (20/20 ov),07/07/2004,Leicester,North Group,Leicestershire,Durham,Durham,41,,,Durham,138,4,20,20,Leicestershire,97,9,20,20,,
304803,134471,"South Group:Middlesex v Sussex at Richmond- Jul 7, 2004",Match abandoned without a ball bowled,,07/07/2004,Richmond,South Group,Middlesex,Sussex,Match abandoned without a ball bowled,,,,,,,,,,,,,,,
