series,season,winner,margin,series_id
Metropolitan Bank Twenty20 (in Zimbabwe),2007/08,Easterns,,342325
Bangladesh in Pakistan T20I Match,2007/08,Pakistan,1-0 (1),343758
Standard Bank Pro20 Series (in South Africa),2007/08,Titans,,298852
Sri Lanka Cricket Inter-Provincial Twenty20 Tournament,2007/08,Wayamba,,341775
Indian Premier League (in India),2007/08,Royals,,313494
New Zealand in England T20I Match,2008,England,1-0 (1),296894
Australia in West Indies T20I Match,2008,West Indies,1-0 (1),319126
Twenty20 Cup (in England),2008,Middlesex,,319695
"ICC World Twenty20 Qualifier (Bermuda, Canada, Ireland, Kenya, Netherlands, Scotland in Ireland)",2008,shared,,353665
South Africa in England T20I Match,2008,abandoned,0-0 (1),296895
RBS Twenty-20 Cup (in Pakistan),2008/09,S Stallions,,369896
T20 Canada (in Canada),2008/09,Sri Lanka,,361644
Stanford Super Series (in West Indies),2008/09,Superstars,,354384
Stanford 20/20 for 20 (in West Indies),2008/09,Superstars,,362491
Bangladesh in South Africa T20I Match,2008/09,South Africa,1-0 (1),350339
West Indies in New Zealand T20I Series,2008/09,drawn,1-1 (2),366702
South Africa in Australia T20I Series,2008/09,Australia,2-0 (2),351618
Twenty20 Big Bash (in Australia),2008/09,NSW,,361245
India in Sri Lanka T20I Match,2008/09,India,1-0 (1),370896
New Zealand in Australia T20I Match,2008/09,Australia,1-0 (1),351619
Standard Bank Pro20 Series (in South Africa),2008/09,Cape Cobras,,359842
India in New Zealand T20I Series,2008/09,New Zealand,2-0 (2),366618
State Twenty20 (in New Zealand),2008/09,Otago,,369193
England in West Indies T20I Match,2008/09,West Indies,1-0 (1),352658
England Lions v New Zealand A Twenty20 Match (in New Zealand),2008/09,NZ A,1-0 (1),372810
Australia in South Africa T20I Series,2008/09,South Africa,2-0 (2),350463
Sri Lanka Cricket Inter-Provincial Twenty20 Tournament,2008/09,Wayamba,,385758
Australia v Pakistan T20I Match (in United Arab Emirates),2009,Pakistan,1-0 (1),390287
Metropolitan Bank Twenty20 (in Zimbabwe),2009,Westerns,,404134
Indian Premier League (in South Africa),2009,Chargers,,374163
Royal Bank of Scotland Twenty-20 Cup (in Pakistan),2009,S Stallions,,405029
ICC World Twenty20 (in England),2009,Pakistan,,335113
British Asian Cup (in England),2009,Royals,,404475
Pakistan A v Australia A Twenty20 Match (in Australia),2009,Australia A,1-0 (1),402823
Bangladesh in West Indies T20I Match,2009,West Indies,1-0 (1),401064
Pakistan in Sri Lanka T20I Match,2009,Pakistan,1-0 (1),403364
Twenty20 Cup (in England),2009,Sussex,,382428
Australia in England T20I Series,2009,drawn,0-0 (2),350031
New Zealand in Sri Lanka T20I Series,2009,New Zealand,2-0 (2),403360
Champions League Twenty20 (in India),2009/10,NSW,,405864
Pakistan v New Zealand T20I Series (in United Arab Emirates),2009/10,Pakistan,2-0 (2),426718
England in South Africa T20I Series,2009/10,drawn,1-1 (2),387552
Sri Lanka in India T20I Series,2009/10,drawn,1-1 (2),430869
Twenty20 Big Bash (in Australia),2009/10,Victoria,,411984
HRV Cup (in New Zealand),2009/10,Central D,,424919
Bangladesh in New Zealand T20I Match,2009/10,New Zealand,1-0 (1),423772
Kenya T20 Tri-Series,2009/10,Kenya,,440098
Sri Lanka Associates T20 Series,2009/10,Sri Lanka A,,440159
Pakistan in Australia T20I Match,2009/10,Australia,1-0 (1),406187
ICC World Twenty20 Qualifier (in United Arab Emirates),2009/10,Afghanistan,,410068
Pakistan v England T20I Series (in United Arab Emirates),2009/10,drawn,1-1 (2),440941
Stanbic Bank 20 Series (in Zimbabwe),2009/10,Mountaineers,,414289
West Indies in Australia T20I Series,2009/10,Australia,2-0 (2),406183
Australia in New Zealand T20I Series,2009/10,drawn,1-1 (2),423776
Zimbabwe in West Indies T20I Match,2009/10,Zimbabwe,1-0 (1),439109
Royal Bank of Scotland Twenty-20 Cup (in Pakistan),2009/10,S Stallions,,449729
Sri Lanka Cricket Inter-Provincial Twenty20 Tournament,2009/10,Wayamba,,443038
Standard Bank Pro20 Series (in South Africa),2009/10,Warriors,,420005
Syed Mushtaq Ali Trophy (in India),2009/10,Maharashtra,,425302
National Cricket League Twenty20 (in Bangladesh),2009/10,Rajshahi Div,,455175
Indian Premier League (in India),2009/10,Super Kings,,418064
ICC World Twenty20 (in West Indies),2010,England,,412671
South Africa in West Indies T20I Series,2010,South Africa,2-0 (2),439113
New Zealand v Sri Lanka T20I Series (in United States of America),2010,drawn,1-1 (2),456987
India in Zimbabwe T20I Series,2010,India,2-0 (2),452143
Sri Lanka A in Australia unofficial T20I Match,2010,Australia A,1-0 (1),465658
"MCC Spirit of Cricket T20I Series (Australia, Pakistan in England)",2010,Pakistan,2-0 (2),426347
Caribbean T20 (in West Indies),2010,Guyana,,462398
Friends Provident t20 (in England),2010,Hampshire,,435130
Pakistan in England T20I Series,2010,England,2-0 (2),426425
Champions League Twenty20 (in South Africa),2010/11,Super Kings,,456281
Zimbabwe in South Africa T20I Series,2010/11,South Africa,2-0 (2),463134
Faysal Bank T-20 Cup (in Pakistan),2010/11,Lahore Lions,,479929
Pakistan v South Africa T20I Series (in United Arab Emirates),2010/11,South Africa,2-0 (2),461561
Sri Lanka in Australia T20I Match,2010/11,Sri Lanka,1-0 (1),446947
Pakistan A in West Indies unofficial T20I Series,2010/11,W. Indies A,2-0 (2),480423
Stanbic Bank 20 Series (in Zimbabwe),2010/11,Eagles,,474534
Pakistan in New Zealand T20I Series,2010/11,New Zealand,2-1 (3),473914
HRV Cup (in New Zealand),2010/11,Auckland,,475375
India in South Africa T20I Match,2010/11,India,1-0 (1),463138
England in Australia T20I Series,2010/11,drawn,1-1 (2),446949
Caribbean T20 (in West Indies),2010/11,Trinidad & T,,487275
Twenty20 Big Bash (in Australia),2010/11,South Aust,,461027
Syed Mushtaq Ali Trophy (in India),2010/11,Bengal,,471504
Standard Bank Pro20 Series (in South Africa),2010/11,Cape Cobras,,469356
Pakistan in West Indies T20I Match,2011,West Indies,1-0 (1),489203
Indian Premier League (in India),2011,Super Kings,,466304
India in West Indies T20I Match,2011,India,1-0 (1),489198
Sri Lanka in England T20I Match,2011,Sri Lanka,1-0 (1),474457
Faysal Bank Super Eight T-20 Cup (in Pakistan),2011,R Rams,,519380
Sri Lanka Cricket Inter-Provincial Twenty20 Tournament,2011,Ruhuna,,523349
Australia in Sri Lanka T20I Series,2011,Sri Lanka,2-0 (2),516175
Etihad Summer Festival (in Canada),2011,Trinidad & T,,504777
Friends Life t20 (in England),2011,Leics,,491208
India in England T20I Match,2011,England,1-0 (1),474460
Pakistan in Zimbabwe T20I Series,2011,Pakistan,2-0 (2),504009
West Indies in England T20I Series,2011,drawn,1-1 (2),525815
Faysal Bank T-20 Cup (in Pakistan),2011/12,S Stallions,,530192
Scotland in Namibia unofficial T20I Series,2011/12,Scotland,4-1 (5),529473
Nokia Champions League T20 (in India),2011/12,Mum Indians,,519661
West Indies in Bangladesh T20I Match,2011/12,Bangladesh,1-0 (1),531976
Australia in South Africa T20I Series,2011/12,drawn,1-1 (2),514018
New Zealand in Zimbabwe T20I Series,2011/12,New Zealand,2-0 (2),527009
England in India T20I Match,2011/12,England,1-0 (1),521213
Kenya in Namibia unofficial T20I Series,2011/12,Namibia,6-2 (8),538150
Bangladesh A in West Indies unofficial T20I Series,2011/12,drawn,1-1 (2),537765
Pakistan v Sri Lanka T20I Match (in United Arab Emirates),2011/12,Pakistan,1-0 (1),530423
Pakistan in Bangladesh T20I Match,2011/12,Pakistan,1-0 (1),538065
Stanbic Bank 20 Series (in Zimbabwe),2011/12,Mountaineers,,540848
CSA Provincial T20 Challenge (in Namibia/South Africa),2011/12,Northerns,,528285
Caribbean T20 (in West Indies),2011/12,Trinidad & T,,537231
HRV Cup (in New Zealand),2011/12,Auckland,,526613
England Lions in Bangladesh unofficial T20I Series,2011/12,drawn,1-1 (2),545671
Big Bash League (in Australia),2011/12,Syd Sixers,,509666
India in Australia T20I Series,2011/12,drawn,1-1 (2),518946
Zimbabwe in New Zealand T20I Series,2011/12,New Zealand,2-0 (2),520584
South Africa in New Zealand T20I Series,2011/12,South Africa,2-1 (3),520585
Ireland in Kenya T20I Series,2011/12,Ireland,3-0 (3),543871
Pakistan v England T20I Series (in United Arab Emirates),2011/12,England,2-1 (3),531623
Bangladesh Premier League,2011/12,Dhaka,,547342
ICC World Twenty20 Qualifier (in United Arab Emirates),2011/12,Ireland,,532912
Syed Mushtaq Ali Trophy (in India),2011/12,Baroda,,526256
Australia in West Indies T20I Series,2011/12,drawn,1-1 (2),540166
India in South Africa T20I Match,2011/12,South Africa,1-0 (1),559340
Faysal Bank Super Eight T-20 Cup (in Pakistan),2011/12,S Stallions,,557939
MiWAY T20 Challenge (in South Africa),2011/12,Titans,,530257
CSN Premier Clubs T20 Tournament (in Sri Lanka),2011/12,Burgher,,558553
Indian Premier League (in India),2012,KKR,,520932
Pakistan in Sri Lanka T20I Series,2012,drawn,1-1 (2),562387
India A in West Indies unofficial T20I Series,2012,drawn,1-1 (2),562894
West Indies in England T20I Match,2012,England,1-0 (1),534188
Zimbabwe Twenty20 Triangular Series,2012,Zimbabwe XI,,561548
New Zealand v West Indies T20I Series (in United States of America),2012,West Indies,2-0 (2),560918
Bangladesh in Ireland T20I Series,2012,Bangladesh,3-0 (3),567069
Bangladesh v Scotland T20I Match (in Netherlands),2012,Scotland,1-0 (1),567202
Bangladesh in Netherlands T20I Series,2012,drawn,1-1 (2),567203
India in Sri Lanka T20I Match,2012,India,1-0 (1),564780
Friends Life t20 (in England),2012,Hampshire,,542416
Sri Lanka Premier League,2012,Uva Next,,564280
Trinidad Quadrangular T20 (in West Indies),2012,Afghanistan,,579978
Pakistan v Australia T20I Series (in United Arab Emirates),2012,Pakistan,2-1 (3),571144
New Zealand in India T20I Series,2012,New Zealand,1-0 (2),565800
South Africa in England T20I Series,2012,drawn,1-1 (3),534191
ICC World Twenty20 (in Sri Lanka),2012/13,West Indies,,531597
Champions League Twenty20 (in South Africa),2012/13,Syd Sixers,,566250
New Zealand in Sri Lanka T20I Match,2012/13,drawn,0-0 (1),582181
Faysal Bank T-20 Cup (in Pakistan),2012/13,Lahore Lions,,594100
West Indies in Bangladesh T20I Match,2012/13,West Indies,1-0 (1),586602
England in India T20I Series,2012/13,drawn,1-1 (2),565797
New Zealand in South Africa T20I Series,2012/13,South Africa,2-1 (3),567343
Pakistan in India T20I Series,2012/13,drawn,1-1 (2),589303
Big Bash League (in Australia),2012/13,Heat,,571220
Caribbean T20 (in West Indies),2012/13,Trinidad & T,,587824
HRV Cup (in New Zealand),2012/13,Otago,,577196
Sri Lanka in Australia T20I Series,2012/13,Sri Lanka,2-0 (2),572996
Domestic Twenty20 Competition (in Zimbabwe),2012/13,Mountaineers,,580836
Afghanistan in Pakistan unofficial T20I Match,2012/13,Pakistan A,1-0 (1),604412
West Indies in Australia T20I Match,2012/13,West Indies,1-0 (1),573000
England in New Zealand T20I Series,2012/13,England,2-1 (3),569231
Bangladesh Premier League,2012/13,Dhaka,,586487
Pakistan in South Africa T20I Series,2012/13,Pakistan,1-0 (2),567347
Zimbabwe in West Indies T20I Series,2012/13,West Indies,2-0 (2),593978
Afghanistan v Scotland T20I Series (in United Arab Emirates),2012/13,Afghanistan,2-0 (2),592260
Canada v Kenya T20I Series (in United Arab Emirates),2012/13,drawn,1-1 (2),592256
United Arab Emirates v Ireland T20 Match (in United Arab Emirates),2012/13,Ireland,1-0 (1),592253
Bangladesh in Sri Lanka T20I Match,2012/13,Sri Lanka,1-0 (1),602469
Faysal Bank Super Eight T-20 Cup (in Pakistan),2012/13,Wolves,,626108
Syed Mushtaq Ali Trophy (in India),2012/13,Gujarat,,576166
CSA Provincial Pro20 Competition (in Namibia/South Africa),2012/13,Free State,,577790
Ram Slam T20 Challenge (in South Africa),2012/13,Lions,,575091
Kenya v Netherlands T20I Match (in Namibia),2013,Kenya,1-0 (1),630953
"Twenty20 Quadrangular (in Namibia) (Kenya, Namibia, Netherlands, South Africa Emerging Players in Namibia)",2013,Namibia,,592262
8th Bangladesh Games Cricket (in Bangladesh),2013,Rajshahi Div,,637312
Bangladesh in Zimbabwe T20I Series,2013,drawn,1-1 (2),623568
Indian Premier League (in India),2013,Mum Indians,,586733
Sri Lanka A in West Indies unofficial T20I Series,2013,W. Indies A,1-0 (2),631939
New Zealand in England T20I Series,2013,New Zealand,1-0 (2),566897
Kenya in Scotland T20I Series,2013,Scotland,2-0 (2),631555
Advance Telecom Ramadan T20 Cup (in Pakistan),2013,Habib Bank,,645753
Pakistan in West Indies T20I Series,2013,Pakistan,2-0 (2),645629
South Africa in Sri Lanka T20I Series,2013,South Africa,2-1 (3),635652
Canada v United Arab Emirates T20 Series (in Canada),2013,U.A.E.,2-0 (2),631556
Friends Life t20 (in England),2013,Northants,,592761
Sri Lanka Cricket Super 4's Twenty20 Tournament,2013,Kandurata Ma,,659505
Caribbean Premier League (in West Indies),2013,Tallawahs,,604578
Pakistan in Zimbabwe T20I Series,2013,Pakistan,2-0 (2),659537
Australia in England T20I Series,2013,drawn,1-1 (2),566895
West Indies A in India unofficial T20I Match,2013/14,India A,1-0 (1),664387
Champions League Twenty20 (in India),2013/14,Mum Indians,,629521
India v Australia T20I Match (in India),2013/14,India,1-0 (1),647243
Afghanistan v Kenya T20I Series (in United Arab Emirates),2013/14,drawn,1-1 (2),662379
Kenya in Sri Lanka unofficial T20I Series,2013/14,Sri Lanka A,5-1 (7),682197
New Zealand in Bangladesh T20I Match,2013/14,New Zealand,1-0 (1),668941
Pakistan v South Africa T20I Series (in United Arab Emirates),2013/14,South Africa,2-0 (2),649081
New Zealand in Sri Lanka T20I Series,2013/14,Sri Lanka,1-0 (2),668945
Pakistan in South Africa T20I Series,2013/14,drawn,1-1 (2),685723
ICC World Twenty20 Qualifier (in United Arab Emirates),2013/14,Ireland,,660011
Faysal Bank T-20 Cup for Departments (in Pakistan),2013/14,ZTBL,,691945
Afghanistan v Pakistan T20I Match (in United Arab Emirates),2013/14,Pakistan,1-0 (1),698359
Pakistan v Sri Lanka T20I Series (in United Arab Emirates),2013/14,drawn,1-1 (2),657621
Bangladesh T20 Challenge Series (Bangladesh A in Bangladesh),2013/14,Bangladesh A,3-0 (3),696589
Victory Day T20 Cup (in Bangladesh),2013/14,Prime Bank,,702339
West Indies in New Zealand T20I Series,2013/14,New Zealand,2-0 (2),661677
HRV Twenty20 (in New Zealand),2013/14,Northern D,,665521
England in Australia T20I Series,2013/14,Australia,3-0 (3),636158
Big Bash League (in Australia),2013/14,Scorchers,,641477
Ram Slam T20 Challenge (in South Africa),2013/14,Dolphins,,652131
Domestic Twenty20 Competition (in Zimbabwe),2013/14,-,,691361
Sri Lanka in Bangladesh T20I Series,2013/14,Sri Lanka,2-0 (2),690343
Faysal Bank T-20 Cup (in Pakistan),2013/14,Lahore Lions,,714737
Ireland in West Indies T20I Series,2013/14,drawn,1-1 (2),702137
England in West Indies T20I Series,2013/14,West Indies,2-1 (3),636531
Australia in South Africa T20I Series,2013/14,Australia,2-0 (3),648639
CSA Provincial T20 Challenge (in Namibia/South Africa),2013/14,KZN-Inland,,670061
World T20 (in Bangladesh),2013/14,Sri Lanka,,628368
Syed Mushtaq Ali Trophy (in India),2013/14,Baroda,,671083
Sri Lanka in England T20I Match,2014,Sri Lanka,1-0 (1),667881
Pepsi Indian Premier League (in India/United Arab Emirates),2014,KKR,,695871
UltraTech Cement Super 4's Twenty20 Tournament (in Sri Lanka),2014,Express,,747843
New Zealand in West Indies T20I Series,2014,drawn,1-1 (2),730261
Taqreebat-e-Azadi T-20 Tournament (in Pakistan),2014,-,,766949
Caribbean Premier League (in West Indies),2014,Tridents,,734487
NatWest t20 Blast (in England),2014,Warwickshire,,691693
Bangladesh in West Indies T20I Match,2014,drawn,0-0 (1),730271
India in England T20I Match,2014,England,1-0 (1),667703
Bank Albaraka Presents Haier T20 Cup (in Pakistan),2014/15,P Panthers,,779411
Champions League Twenty20 (in India),2014/15,Super Kings,,763543
Pakistan v Australia T20I Match (in United Arab Emirates),2014/15,Australia,1-0 (1),727911
Island of Origin (in New Zealand),2014/15,South Island,1-0 (1),791315
South Africa in Australia T20I Series,2014/15,Australia,2-1 (3),754593
Hong Kong v Nepal T20I Series (in Sri Lanka),2014/15,Hong Kong,1-0 (5),800057
Pakistan v New Zealand T20I Series (in United Arab Emirates),2014/15,drawn,1-1 (2),742599
Georgie Pie Super Smash (in New Zealand),2014/15,Wellington,,785847
Ram Slam T20 Challenge (in South Africa),2014/15,Cape Cobras,,736125
West Indies in South Africa T20I Series,2014/15,West Indies,2-1 (3),722323
Big Bash League (in Australia),2014/15,Scorchers,,756733
CSA Provincial T20 Challenge (in Namibia/South Africa),2014/15,Gauteng,,783845
Syed Mushtaq Ali Trophy (in India),2014/15,Gujarat,,775445
SLC Twenty-20 Tournament (in Sri Lanka),2014/15,Badureliya,,854813
Pakistan in Bangladesh T20I Match,2015,Bangladesh,1-0 (1),856315
Cool & Cool Presents Haier Super8 T20 Cup (in Pakistan),2015,S Stallions,,871187
Pepsi Indian Premier League (in India),2015,Mum Indians,,791129
Zimbabwe in Pakistan T20I Series,2015,Pakistan,2-0 (2),868719
Scotland in Ireland T20I Series,2015,Scotland,2-0 (4),876459
New Zealand in England T20I Match,2015,England,1-0 (1),743921
Nepal in Netherlands T20I Series,2015,Netherlands,3-1 (4),883339
South Africa in Bangladesh T20I Series,2015,South Africa,2-0 (2),817191
India in Zimbabwe T20I Series,2015,drawn,1-1 (2),885957
Caribbean Premier League (in West Indies),2015,Red Steel,,846823
ICC World Twenty20 Qualifier (in Ireland/Scotland),2015,shared,,875401
Pakistan in Sri Lanka T20I Series,2015,Pakistan,2-0 (2),860097
New Zealand in Zimbabwe T20I Match,2015,New Zealand,1-0 (1),894277
New Zealand in South Africa T20I Series,2015,drawn,1-1 (2),848823
NatWest t20 Blast (in England),2015,Lancashire,,803393
Australia in England T20I Match,2015,England,1-0 (1),743927
Cool and Cool Presents Haier Mobile T-20 Cup (in Pakistan),2015/16,Pesh R,,913919
Pakistan in Zimbabwe T20I Series,2015/16,Pakistan,2-0 (2),904339
Africa T20 Cup (in South Africa),2015/16,Northerns,,864677
South Africa in India T20I Series,2015/16,South Africa,2-0 (3),903577
Afghanistan in Zimbabwe T20I Series,2015/16,Afghanistan,2-0 (2),924625
West Indies in Sri Lanka T20I Series,2015/16,drawn,1-1 (2),915349
Zimbabwe in Bangladesh T20I Series,2015/16,drawn,1-1 (2),931386
United Arab Emirates v Oman T20I Match (in United Arab Emirates),2015/16,U.A.E.,1-0 (1),942823
Hong Kong v Oman T20I Series (in United Arab Emirates),2015/16,Oman,2-1 (3),930555
Afghanistan v Hong Kong T20I Match (in United Arab Emirates),2015/16,Hong Kong,1-0 (1),942825
Afghanistan v Oman T20I Series (in United Arab Emirates),2015/16,Afghanistan,2-0 (2),930559
Pakistan v England T20I Series (in United Arab Emirates),2015/16,England,3-0 (3),902625
Ram Slam T20 Challenge (in South Africa),2015/16,Titans,,851861
Georgie Pie Super Smash (in New Zealand),2015/16,Auckland,,917513
Bangladesh Premier League,2015/16,Victorians,,921139
Pakistan A v England Lions unofficial T20I Series (in United Arab Emirates),2015/16,Eng Lions,3-2 (5),921197
Afghanistan v Zimbabwe T20I Series (in United Arab Emirates),2015/16,Afghanistan,2-0 (2),953333
Sri Lanka in New Zealand T20I Series,2015/16,New Zealand,2-0 (2),914185
Syed Mushtaq Ali Trophy (in India),2015/16,U. Pradesh,,901113
Pakistan in New Zealand T20I Series,2015/16,New Zealand,2-1 (3),914263
Walton T20 Cricket Series (Zimbabwe in Bangladesh),2015/16,drawn,2-2 (4),958413
AIA Premier T20 Tournament (in Sri Lanka),2015/16,SL Army,,937137
Big Bash League (in Australia),2015/16,Syd Thunder,,897689
India in Australia T20I Series,2015/16,India,3-0 (3),895805
Scotland in Hong Kong T20I Series,2015/16,drawn,1-1 (2),953101
Netherlands in United Arab Emirates T20I Match,2015/16,Netherlands,1-0 (1),967067
Scotland in United Arab Emirates T20I Match,2015/16,U.A.E.,1-0 (1),966351
Scotland v Netherlands T20I Match (in United Arab Emirates),2015/16,Scotland,1-0 (1),966353
Super T20 Provincial Tournament (in Sri Lanka),2015/16,Commandos,,940849
Papua New Guinea v Ireland T20I Series (in Australia),2015/16,Ireland,2-1 (3),954729
Domestic Twenty20 Competition (in Zimbabwe),2015/16,Eagles,,965919
Sri Lanka in India T20I Series,2015/16,India,2-1 (3),963669
Ireland in United Arab Emirates T20I Series,2015/16,drawn,1-1 (2),965083
England in South Africa T20I Series,2015/16,South Africa,2-0 (2),800451
Pakistan Super League (in United Arab Emirates),2015/16,Islamabad Un,,923069
Island of Origin (in New Zealand),2015/16,North Island,1-0 (1),973311
Asia Cup (in Bangladesh),2015/16,India,,966595
CSA Provincial T20 Challenge (in Namibia/South Africa),2015/16,KZN-Inland,,874765
Australia in South Africa T20I Series,2015/16,Australia,2-1 (3),884345
World T20 (in India),2015/16,West Indies,,901359
Indian Premier League (in India),2016,Sunrisers,,968923
India in Zimbabwe T20I Series,2016,India,2-1 (3),1007665
Sri Lanka in England T20I Match,2016,England,1-0 (1),913595
Caribbean Premier League (in United States of America/West Indies),2016,Tallawahs,,971665
NatWest t20 Blast (in England),2016,Northants,,946653
West Indies v India T20I Series (in United States of America),2016,West Indies,1-0 (2),1041619
Hong Kong in Ireland T20I Series,2016,Hong Kong,1-0 (2),1004723
Pakistan in England T20I Match,2016,Pakistan,1-0 (1),913605
Australia in Sri Lanka T20I Series,2016,Australia,2-0 (2),995437
National T20 Cup (in Pakistan),2016,Karachi B,,1047745
Pakistan v West Indies T20I Series (in United Arab Emirates),2016/17,Pakistan,3-0 (3),1050201
Africa T20 Cup (in South Africa),2016/17,E. Province,,1029597
Bangladesh Premier League,2016/17,Dynamites,,1063043
CSA T20 Challenge (in South Africa),2016/17,Titans,,1003347
Afghanistan in United Arab Emirates T20I Series,2016/17,Afghanistan,3-0 (3),1072201
Super Smash (in New Zealand),2016/17,Wellington,,1053263
Bangladesh in New Zealand T20I Series,2016/17,New Zealand,3-0 (3),1019971
Desert T20 Challenge (in United Arab Emirates),2016/17,Afghanistan,,1074956
Sri Lanka in South Africa T20I Series,2016/17,Sri Lanka,2-1 (3),936123
Big Bash League (in Australia),2016/17,Scorchers,,1023537
England in India T20I Series,2016/17,India,2-1 (3),1034805
Inter State Twenty-20 Tournament (in India),2016/17,-,,1079273
South Africa in New Zealand T20I Match,2016/17,South Africa,1-0 (1),1020023
Syed Mushtaq Ali Trophy Inter Zonal (in India),2016/17,East Zone,,1081570
Sri Lanka in Australia T20I Series,2016/17,Sri Lanka,2-1 (3),1001323
Pakistan Super League (in Pakistan/United Arab Emirates),2016/17,Zalmi,,1075974
Afghanistan v Ireland T20I Series (in India),2016/17,Afghanistan,3-0 (3),1040467
Pakistan in West Indies T20I Series,2017,Pakistan,3-1 (4),1077945
Bangladesh in Sri Lanka T20I Series,2016/17,drawn,1-1 (2),1083439
Indian Premier League (in India),2017,-,,1078425
